Date,Сбербанк,Т-Технологии,Яндекс,РусАгро,X5 Group,МТС,Ростелеком,Ростелеком П,Астра,Диасофт,Позитив,ИнтерРАО,Юнипро,ВК,АФК-Система,ЭсЭфАй,Whoosh,Мать и Дитя,Газпром,Газпром Нефть,Лукойл,Новатэк,Роснефть,Сургут П,Татнефть,Алроса,Мечел,ММК,НЛМК,Норникель,Полюс,Распадская,РусАл,СеверСталь,Сегежа,ФосАгро,ЮжУралЗолото,Хэдхантер,Пик,Самолет,Эталон,М-Видео,Хэндерсон,Озон,Аэрофлот,Белуга,Инарктика,Магнит,Черкизово,Лента,НМТП,СовкомФлот,НКХП,Транснефть П,Банк СПБ,ВТБ,Европлан,МосБиржа,Ренессанс,Совкомбанк,СПБ Биржа,КазОргСинтез,НижКамНефХим,НижКамНефХим П,Россети МР,Россети Центр,Россети ЦиП,Россети C-З,Детский Мир,Полиметалл,QIWI,Трансаэро,Уралкалий,Дикси,РусГидро,Россети,Селигдар,ВСМПО-АВИСМА,Обувь России,Соликамск магн-завод,ОВК,"ОФЗ, фикс 1+","ОФЗ, фикс 5-10","ВДО, фикс",Денежный рынок(LQDT),Юань,Доллар,Евро,Золото,Серебро
2010-01-11,0.0005,,,,,0.0005,0.0005,0.0005,,,,0.0005,0.0005,,0.0005,,,,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,,0.0005,0.0005,0.0005,0.0005,,0.0005,,0.0005,,,,,0.0005,,,0.0005,,,0.0005,0.0005,,0.0005,0.0005,,0.0005,,,0.0005,0.0005,0.0005,,,,,,,0.0005,,0.0005,0.0005,0.0005,0.0005,,,,,0.0005,0.0005,0.0005,0.0005,,0.0005,,,,0.0005,,,,,0.0005,0.0005,,
2010-01-12,0.013084334766821571,,,,,0.013253325025485324,0.013728180715046914,0.014182521020519867,,,,0.028434243209200353,0.026808750729757903,,0.018360260152618296,,,,0.016322714697806585,0.013099564395841898,0.017121517190595688,0.020728639495771767,0.014247823404654887,0.013148778884158337,0.011394123423452994,,0.020631994010781585,0.04026024296595514,0.021175727492087043,0.01402736236230612,,0.025314756171686038,,0.04138717046067192,,,,,0.027892993870821583,,,0.006091966397495369,,,0.03159833113839069,0.010886603923405042,,0.028648198712286174,0.08852469598165405,,0.02294323433433163,,,0.008976294354125534,0.08167481345794642,0.017360858279611226,,,,,,,0.05398926479467799,,0.017751869874603077,0.011225769914456691,0.022798698858137838,0.08032089033122897,,,,,0.020144276615059027,0.020804551602245723,0.02204612180909971,0.016159572332743795,,0.01999833621889692,,,,0.0057750383961256,,,,,0.006118862960694393,0.0038680227676970223,,
2010-01-13,0.021945552265581904,,,,,0.009137107232939133,0.010509829665163402,0.011263123421983753,,,,0.01810874491990294,0.019191162523328458,,0.02604517609510287,,,,0.011248213315791233,0.015568187201989048,0.01238747327691598,0.02098995278128067,0.02077538383118104,0.020173774867081676,0.017402711779137738,,0.0738088102197823,0.041951120612004414,0.029623717624312394,0.02130946840372486,,0.034165222033095015,,0.053719619893558314,,,,,0.030916699460320392,,,0.010266253486680954,,,0.016096406181682933,0.014559772587338878,,0.024205064730603732,0.07404812530738548,,0.024144586724638185,,,0.013998339488607755,0.04800933896544125,0.02698686795658081,,,,,,,0.0538175859509553,,0.01854032351352842,0.03549288721499793,0.06928983098622794,0.021429391950810436,,,,,0.023800991398832346,0.004770212244891802,0.034412669793313574,0.033227288165314395,,0.03525750745956643,,,,0.0031360969665943715,,,,,0.003552726012450999,0.0034255955767167716,,
2010-01-14,0.008674005867744026,,,,,0.006489753087602819,0.04258631192381833,0.020087531568067075,,,,0.010864720107599393,0.02416376754910425,,0.04675853453842373,,,,0.008147823913967856,0.010677566171590344,0.010130141865157613,0.0212008320411903,0.01129196569345927,0.01924479621616978,0.011829776664640773,,0.07556800953015484,0.03678054533597327,0.02238885141238909,0.03177305747928627,,0.04847329080030092,,0.0625855986183714,,,,,0.05450503236825732,,,0.06736438132358949,,,0.019547433589942306,0.05229890609601077,,0.013245481019669974,0.06059877041090971,,0.05605033286419004,,,0.019298698128910673,0.08029727440213305,0.017617725324163586,,,,,,,0.03539235875641713,,0.013894736187850186,0.024246130373506692,0.047720844091509604,0.021736741135875474,,,,,0.01891589087858762,0.007433246347351341,0.021007462109534362,0.02930147975613715,,0.09971535849076228,,,,0.003494091393507137,,,,,0.0037735989933174656,0.005505752793774121,,
2010-01-15,0.010315301293937134,,,,,0.006248624337826884,0.038079859219620434,0.05658611524022018,,,,0.09698310941222127,0.017310393857151184,,0.025290524360659955,,,,0.015357219234918378,0.010323439631334995,0.015108949578020723,0.021009563263229607,0.010962424539632686,0.011191629392251235,0.01383224346214532,,0.01139201338469873,0.019477845277795,0.028586815126030705,0.01385453215735944,,0.04358314269253951,,0.025040661487749458,,,,,0.06196844918782525,,,0.03137199878128566,,,0.007126779805710251,0.03363003867687953,,0.014204509538410993,0.05376038692196852,,0.04616568290133423,,,0.020958549937594564,0.027734063556811153,0.0096607102621509,,,,,,,0.02672923376944602,,0.03311018277711111,0.08153098368731687,0.025328623783650018,0.03344044310193998,,,,,0.009649462007196274,0.045747959318275154,0.02280886295999546,0.010475170294887927,,0.02460957148243857,,,,0.004637364543633895,,,,,0.003407809329684557,0.003807727330803291,,
2010-01-18,0.01925299423791817,,,,,0.03893198909817004,0.022257449846048202,0.03416737846063464,,,,0.01614843029872912,0.01806079017843996,,0.017791496437549518,,,,0.012422552152314192,0.04542972328433278,0.013846404782904206,0.03502261355673998,0.013290506740562596,0.007996938457440095,0.016321953308438608,,0.060329116172953244,0.05759299338901622,0.021961358998981786,0.022234298262573202,,0.020752782439609346,,0.06095238381340289,,,,,0.014975896025853641,,,0.04605956987059952,,,0.006074693860650431,0.020830800480258198,,0.02683509617710455,0.058328265592708525,,0.013014275331252203,,,0.051288262074434154,0.05852338613078475,0.008029012693560171,,,,,,,0.02512498631275804,,0.031396973731557656,0.020847425241969336,0.01624863892772026,0.019207776537671892,,,,,0.018089428018512203,0.06018716558278042,0.016703215817550587,0.01751031337806909,,0.036030621955312786,,,,0.0015716197839712731,,,,,0.0023127406651527274,0.00199008724470258,,
2010-01-19,0.02256517474101586,,,,,0.019799409815728915,0.018219644095004324,0.038707269983810695,,,,0.01514100036719433,0.02374068813435922,,0.0297106087050131,,,,0.009886920197444325,0.023430743052217137,0.010506256006241924,0.0384544817540648,0.01390613523666899,0.020158540999333428,0.012343722151186063,,0.04021553908997234,0.019444631469916727,0.03183128349326785,0.020418645389470642,,0.02087036183888345,,0.04519089648991704,,,,,0.0345587463494075,,,0.05135600914972704,,,0.029137616573282014,0.044401863970465104,,0.027026185319987805,0.03987406717255572,,0.028408982631866322,,,0.0356213557589212,0.05258482218373064,0.01845557076929055,,,,,,,0.053748946462407764,,0.028023617928647847,0.02016462048472426,0.017928531503879058,0.0328656516676724,,,,,0.013950220116947448,0.045039983369078565,0.023499132491961793,0.021136300039737807,,0.024968806985508445,,,,0.000961221912171492,,,,,0.005067749076937856,0.0035356348697755126,,
2010-01-20,0.013593732108596789,,,,,0.015561621251337225,0.01979595445742002,0.023735649679011598,,,,0.01922985639959813,0.016683328477664166,,0.029254286230955353,,,,0.013043681648025829,0.009479927177647129,0.020860619836711575,0.015732548297728115,0.01366066753851258,0.009821882565044229,0.01360633380946696,,0.028197875880671915,0.041631250518351405,0.017748905611413207,0.02074890480048616,,0.013469637749542532,,0.03810025401084023,,,,,0.09531259256345298,,,0.16078053882922008,,,0.008751502101962738,0.020823975882341153,,0.01527247016984802,0.07962208311763719,,0.01355169960605478,,,0.03142822250406549,0.062074315369794554,0.022186841978037435,,,,,,,0.0504385267630118,,0.031356326634423566,0.01230849649679788,0.025284332976122786,0.04698964255382846,,,,,0.040477677088882696,0.05518390458523053,0.01850874387814474,0.01587478870088715,,0.024774709712506015,,,,0.0034024793611163585,,,,,0.002427330503007246,0.0059091911707672825,,
2010-01-21,0.01816090187024999,,,,,0.01901807570817369,0.019377205655267182,0.020938301036621348,,,,0.035766140718251405,0.022025869574734545,,0.022163445160752783,,,,0.015897132616809424,0.01179645480458367,0.016211114367467274,0.01601591458671888,0.024499248099843173,0.016024377307398766,0.02458301736467107,,0.04148253346534621,0.03510353193401794,0.036224810571739936,0.016945543307333315,,0.02025111806310974,,0.0333740500099949,,,,,0.05371132628759937,,,0.04524283917729801,,,0.021263949582621792,0.015312885413088175,,0.014762853010141,0.040117404682770356,,0.016552188375595137,,,0.026585128364710883,0.09609533685911058,0.014472054599248448,,,,,,,0.0504385267630118,,0.02466256667704444,0.01969229548641578,0.05019338973181397,0.016839267772118614,,,,,0.023293143753304373,0.05807842485871752,0.023554438728495834,0.02868897465011951,,0.040284522531866325,,,,0.000803695274702417,,,,,0.003428906199580423,0.0030074667100094435,,
2010-01-22,0.023554438728495834,,,,,0.010934340259691335,0.02858141187066915,0.026787615874669123,,,,0.042310534352002376,0.02352729533266315,,0.02481850944153325,,,,0.014918859645385382,0.026696004066941618,0.021572305269577426,0.020636051568889948,0.02488134442561757,0.01588963857798151,0.023895279375779063,,0.03043691297974503,0.031178698177473145,0.029496921924503115,0.01862378624876041,,0.03476887740637156,,0.028364208045052734,,,,,0.05218701114734603,,,0.046916351171625265,,,0.032592234315172254,0.03575273318450772,,0.04615393027109089,0.05983381727374159,,0.019169132020516774,,,0.020990841518334087,0.024707642220805577,0.031572035218348185,,,,,,,0.11663789596352751,,0.04165082146183388,0.06643986283614692,0.05065629235591929,0.08435780505606062,,,,,0.03363226136715251,0.050892294222750704,0.023269204239926542,0.012876231150804534,,0.0403739248079002,,,,0.0004770643428097443,,,,,0.0041622172660850405,0.0054369198131991705,,
